GE,ME,MI
ENSG00000005001,ENSG00000004776,ENSG00000000003
ENSG00000006606,ENSG00000006283,ENSG00000001630
ENSG00000006659,ENSG00000007923,ENSG00000002745
ENSG00000006788,ENSG00000009307,ENSG00000005206
ENSG00000007038,ENSG00000011105,ENSG00000005844
ENSG00000007062,ENSG00000012048,ENSG00000006530
ENSG00000007306,ENSG00000013583,ENSG00000007341
ENSG00000011677,ENSG00000015532,ENSG00000008128
ENSG00000016402,ENSG00000020577,ENSG00000008710
ENSG00000019505,ENSG00000034053,ENSG00000013016
ENSG00000021300,ENSG00000043462,ENSG00000013306
ENSG00000026559,ENSG00000047457,ENSG00000013588
ENSG00000034053,ENSG00000047597,ENSG00000021355
ENSG00000046774,ENSG00000048052,ENSG00000022556
ENSG00000055118,ENSG00000048740,ENSG00000047315
ENSG00000056291,ENSG00000050426,ENSG00000051341
ENSG00000060718,ENSG00000053918,ENSG00000055118
ENSG00000064270,ENSG00000058335,ENSG00000061938
ENSG00000066230,ENSG00000067141,ENSG00000063245
ENSG00000067715,ENSG00000067596,ENSG00000063322
ENSG00000068985,ENSG00000068654,ENSG00000064652
ENSG00000069011,ENSG00000070526,ENSG00000064835
ENSG00000069482,ENSG00000070731,ENSG00000065325
ENSG00000072195,ENSG00000071553,ENSG00000065618
ENSG00000073734,ENSG00000073350,ENSG00000067177
ENSG00000074211,ENSG00000075073,ENSG00000068912
ENSG00000075223,ENSG00000075213,ENSG00000070814
ENSG00000079112,ENSG00000075568,ENSG00000070950
ENSG00000080293,ENSG00000078747,ENSG00000071539
ENSG00000087510,ENSG00000079387,ENSG00000073350
ENSG00000088836,ENSG00000081692,ENSG00000074416
ENSG00000095713,ENSG00000083312,ENSG00000075388
ENSG00000095777,ENSG00000085511,ENSG00000078070
ENSG00000099399,ENSG00000086570,ENSG00000081051
ENSG00000101098,ENSG00000088808,ENSG00000081818
ENSG00000101144,ENSG00000090060,ENSG00000085721
ENSG00000101187,ENSG00000094755,ENSG00000087111
ENSG00000101680,ENSG00000094916,ENSG00000087903
ENSG00000101951,ENSG00000096006,ENSG00000088876
ENSG00000102109,ENSG00000100150,ENSG00000088992
ENSG00000102452,ENSG00000100298,ENSG00000089048
ENSG00000103089,ENSG00000100344,ENSG00000090520
ENSG00000103723,ENSG00000100578,ENSG00000091164
ENSG00000103742,ENSG00000100697,ENSG00000094880
ENSG00000104044,ENSG00000100711,ENSG00000095383
ENSG00000104140,ENSG00000100888,ENSG00000097021
ENSG00000104413,ENSG00000101187,ENSG00000099977
ENSG00000104435,ENSG00000101197,ENSG00000100142
ENSG00000105048,ENSG00000101199,ENSG00000100196
ENSG00000105426,ENSG00000103168,ENSG00000100319
ENSG00000105509,ENSG00000104321,ENSG00000100564
ENSG00000105641,ENSG00000104915,ENSG00000100612
ENSG00000105664,ENSG00000104967,ENSG00000101161
ENSG00000106236,ENSG00000105472,ENSG00000101255
ENSG00000107159,ENSG00000106278,ENSG00000101307
ENSG00000107187,ENSG00000106571,ENSG00000101457
ENSG00000107317,ENSG00000107485,ENSG00000101986
