GE,ME,MI
ENSG00000001626,ENSG00000001167,ENSG00000000003
ENSG00000006016,ENSG00000006327,ENSG00000003756
ENSG00000006071,ENSG00000007541,ENSG00000003987
ENSG00000008056,ENSG00000010292,ENSG00000005156
ENSG00000010438,ENSG00000010818,ENSG00000006530
ENSG00000012779,ENSG00000011009,ENSG00000006638
ENSG00000018236,ENSG00000011198,ENSG00000006652
ENSG00000019169,ENSG00000018408,ENSG00000006704
ENSG00000029153,ENSG00000018510,ENSG00000006712
ENSG00000034971,ENSG00000021355,ENSG00000007923
ENSG00000035720,ENSG00000021762,ENSG00000008128
ENSG00000039537,ENSG00000030582,ENSG00000010803
ENSG00000041353,ENSG00000034510,ENSG00000011105
ENSG00000047936,ENSG00000034677,ENSG00000011332
ENSG00000048462,ENSG00000039650,ENSG00000013374
ENSG00000049249,ENSG00000040199,ENSG00000013588
ENSG00000054179,ENSG00000042088,ENSG00000015475
ENSG00000054356,ENSG00000043462,ENSG00000022556
ENSG00000057294,ENSG00000044459,ENSG00000028137
ENSG00000058335,ENSG00000046653,ENSG00000038532
ENSG00000060718,ENSG00000047457,ENSG00000042286
ENSG00000062096,ENSG00000048545,ENSG00000047315
ENSG00000065609,ENSG00000048740,ENSG00000049249
ENSG00000066032,ENSG00000049089,ENSG00000055118
ENSG00000066248,ENSG00000051825,ENSG00000055332
ENSG00000066382,ENSG00000052344,ENSG00000058729
ENSG00000067715,ENSG00000058404,ENSG00000060688
ENSG00000068976,ENSG00000059377,ENSG00000063322
ENSG00000069812,ENSG00000059728,ENSG00000064835
ENSG00000070190,ENSG00000060971,ENSG00000065325
ENSG00000070748,ENSG00000063046,ENSG00000065518
ENSG00000072315,ENSG00000064545,ENSG00000067064
ENSG00000073737,ENSG00000064999,ENSG00000069248
ENSG00000074211,ENSG00000065615,ENSG00000070190
ENSG00000075035,ENSG00000066855,ENSG00000070476
ENSG00000075461,ENSG00000067066,ENSG00000071539
ENSG00000075891,ENSG00000068654,ENSG00000071909
ENSG00000078098,ENSG00000070614,ENSG00000072163
ENSG00000078589,ENSG00000071127,ENSG00000076201
ENSG00000079393,ENSG00000072110,ENSG00000078142
ENSG00000079689,ENSG00000072310,ENSG00000079482
ENSG00000080493,ENSG00000072518,ENSG00000079805
