GE,ME,MI
ENSG00000001626,ENSG00000001167,ENSG00000000971
ENSG00000003989,ENSG00000004468,ENSG00000001630
ENSG00000004838,ENSG00000004660,ENSG00000002016
ENSG00000004846,ENSG00000004866,ENSG00000002587
ENSG00000004848,ENSG00000004948,ENSG00000002919
ENSG00000004939,ENSG00000004975,ENSG00000003147
ENSG00000005001,ENSG00000005073,ENSG00000003989
ENSG00000005102,ENSG00000005194,ENSG00000004478
ENSG00000006071,ENSG00000005249,ENSG00000004487
ENSG00000006128,ENSG00000005448,ENSG00000004534
ENSG00000006377,ENSG00000005513,ENSG00000004660
ENSG00000007062,ENSG00000005812,ENSG00000004848
ENSG00000007314,ENSG00000005893,ENSG00000005073
ENSG00000008196,ENSG00000005961,ENSG00000005302
ENSG00000008226,ENSG00000006118,ENSG00000005513
ENSG00000008277,ENSG00000006327,ENSG00000005884
ENSG00000008323,ENSG00000006704,ENSG00000006530
ENSG00000009724,ENSG00000006756,ENSG00000006607
ENSG00000010282,ENSG00000007062,ENSG00000006634
ENSG00000010310,ENSG00000007237,ENSG00000006638
ENSG00000010438,ENSG00000007264,ENSG00000006704
ENSG00000011332,ENSG00000007372,ENSG00000007129
ENSG00000011347,ENSG00000007402,ENSG00000007341
ENSG00000012223,ENSG00000007541,ENSG00000007376
ENSG00000013297,ENSG00000008118,ENSG00000007384
ENSG00000015520,ENSG00000008853,ENSG00000007908
ENSG00000016082,ENSG00000008952,ENSG00000008056
ENSG00000016402,ENSG00000009307,ENSG00000008394
ENSG00000021488,ENSG00000009335,ENSG00000008838
ENSG00000021645,ENSG00000010219,ENSG00000009709
ENSG00000022267,ENSG00000010244,ENSG00000010278
ENSG00000023171,ENSG00000010270,ENSG00000010539
ENSG00000023839,ENSG00000010292,ENSG00000010803
ENSG00000024526,ENSG00000010318,ENSG00000011332
ENSG00000025423,ENSG00000010626,ENSG00000011426
ENSG00000026559,ENSG00000010810,ENSG00000011478
ENSG00000027644,ENSG00000010818,ENSG00000012223
ENSG00000029534,ENSG00000011009,ENSG00000012504
ENSG00000029559,ENSG00000011426,ENSG00000012822
ENSG00000033122,ENSG00000011485,ENSG00000013306
ENSG00000034239,ENSG00000011566,ENSG00000013588
ENSG00000035720,ENSG00000013306,ENSG00000015475
ENSG00000039537,ENSG00000013523,ENSG00000015479
ENSG00000041515,ENSG00000013563,ENSG00000017260
ENSG00000042813,ENSG00000013583,ENSG00000018699
ENSG00000042832,ENSG00000018408,ENSG00000020256
ENSG00000043039,ENSG00000020256,ENSG00000022556
ENSG00000043355,ENSG00000020577,ENSG00000022840
ENSG00000044524,ENSG00000021355,ENSG00000023228
ENSG00000046653,ENSG00000021762,ENSG00000023445
ENSG00000047597,ENSG00000023171,ENSG00000023839
ENSG00000047662,ENSG00000026751,ENSG00000024526
ENSG00000048540,ENSG00000028203,ENSG00000025772
ENSG00000049130,ENSG00000029363,ENSG00000026103
ENSG00000049249,ENSG00000029725,ENSG00000029559
ENSG00000049283,ENSG00000030066,ENSG00000029993
ENSG00000049540,ENSG00000030582,ENSG00000031081
ENSG00000050628,ENSG00000033627,ENSG00000034239
ENSG00000052850,ENSG00000034510,ENSG00000035115
ENSG00000053108,ENSG00000034677,ENSG00000035499
ENSG00000054356,ENSG00000039560,ENSG00000036828
ENSG00000054938,ENSG00000039650,ENSG00000037474
