GE,ME,MI
ENSG00000002745,ENSG00000003402,ENSG00000001630
ENSG00000002746,ENSG00000003987,ENSG00000003756
ENSG00000004846,ENSG00000004059,ENSG00000004809
ENSG00000005981,ENSG00000004468,ENSG00000004961
ENSG00000006606,ENSG00000004866,ENSG00000005001
ENSG00000006747,ENSG00000004948,ENSG00000005102
ENSG00000007038,ENSG00000005893,ENSG00000005206
ENSG00000007174,ENSG00000006118,ENSG00000006607
ENSG00000007306,ENSG00000006704,ENSG00000006652
ENSG00000008196,ENSG00000008394,ENSG00000006704
ENSG00000010282,ENSG00000008952,ENSG00000006712
ENSG00000011677,ENSG00000009307,ENSG00000007129
ENSG00000016082,ENSG00000010219,ENSG00000007341
ENSG00000026559,ENSG00000010244,ENSG00000007350
ENSG00000029559,ENSG00000010704,ENSG00000008018
ENSG00000030304,ENSG00000010818,ENSG00000008056
ENSG00000034239,ENSG00000011105,ENSG00000008128
ENSG00000034971,ENSG00000011485,ENSG00000008394
ENSG00000036565,ENSG00000012048,ENSG00000009844
ENSG00000036828,ENSG00000013583,ENSG00000010379
ENSG00000039139,ENSG00000018408,ENSG00000010803
ENSG00000043039,ENSG00000020256,ENSG00000011143
ENSG00000046774,ENSG00000026297,ENSG00000011478
ENSG00000047617,ENSG00000026751,ENSG00000013016
ENSG00000050327,ENSG00000029363,ENSG00000013306
ENSG00000054356,ENSG00000029364,ENSG00000021355
ENSG00000054938,ENSG00000030582,ENSG00000022556
ENSG00000057593,ENSG00000034677,ENSG00000028137
ENSG00000058335,ENSG00000037042,ENSG00000034533
ENSG00000065609,ENSG00000039139,ENSG00000039987
ENSG00000066468,ENSG00000040731,ENSG00000042286
ENSG00000067177,ENSG00000042304,ENSG00000043462
ENSG00000067842,ENSG00000042813,ENSG00000047315
ENSG00000068985,ENSG00000042980,ENSG00000049167
ENSG00000069011,ENSG00000043462,ENSG00000051108
ENSG00000069188,ENSG00000047457,ENSG00000051180
ENSG00000069482,ENSG00000047597,ENSG00000051341
ENSG00000069535,ENSG00000048342,ENSG00000055044
ENSG00000070019,ENSG00000050327,ENSG00000057935
ENSG00000070193,ENSG00000050426,ENSG00000058085
ENSG00000070808,ENSG00000051108,ENSG00000060642
ENSG00000070886,ENSG00000051825,ENSG00000060688
ENSG00000072657,ENSG00000052723,ENSG00000061938
ENSG00000074211,ENSG00000056972,ENSG00000063015
ENSG00000074410,ENSG00000060566,ENSG00000065325
