GE,ME,MI
ENSG00000002745,ENSG00000003402,ENSG00000001630
ENSG00000002746,ENSG00000003987,ENSG00000003147
ENSG00000004846,ENSG00000004059,ENSG00000003756
ENSG00000004939,ENSG00000004468,ENSG00000004534
ENSG00000005001,ENSG00000004776,ENSG00000004809
ENSG00000005073,ENSG00000004866,ENSG00000004961
ENSG00000005421,ENSG00000004948,ENSG00000005001
ENSG00000005981,ENSG00000005075,ENSG00000005102
ENSG00000006128,ENSG00000005893,ENSG00000005206
ENSG00000006377,ENSG00000006118,ENSG00000006607
ENSG00000006606,ENSG00000006704,ENSG00000006634
ENSG00000006747,ENSG00000007372,ENSG00000006652
ENSG00000006788,ENSG00000007376,ENSG00000006695
ENSG00000007038,ENSG00000007402,ENSG00000006704
ENSG00000007174,ENSG00000007923,ENSG00000006712
ENSG00000007306,ENSG00000008294,ENSG00000007129
ENSG00000008196,ENSG00000008394,ENSG00000007341
ENSG00000010282,ENSG00000008952,ENSG00000007350
ENSG00000010704,ENSG00000009307,ENSG00000007376
ENSG00000011677,ENSG00000010219,ENSG00000008018
ENSG00000013293,ENSG00000010244,ENSG00000008056
ENSG00000013297,ENSG00000010270,ENSG00000008128
ENSG00000016082,ENSG00000010704,ENSG00000008394
ENSG00000016402,ENSG00000010818,ENSG00000009844
ENSG00000023839,ENSG00000011105,ENSG00000010379
ENSG00000026559,ENSG00000011485,ENSG00000010803
ENSG00000029559,ENSG00000011566,ENSG00000011028
ENSG00000030304,ENSG00000012048,ENSG00000011143
ENSG00000034239,ENSG00000013561,ENSG00000011478
ENSG00000034971,ENSG00000013583,ENSG00000012963
ENSG00000036565,ENSG00000015133,ENSG00000013016
ENSG00000036828,ENSG00000018408,ENSG00000013306
ENSG00000039139,ENSG00000020256,ENSG00000013374
ENSG00000043039,ENSG00000020426,ENSG00000013588
ENSG00000043355,ENSG00000026297,ENSG00000021355
ENSG00000043591,ENSG00000026751,ENSG00000021645
ENSG00000046774,ENSG00000029363,ENSG00000022556
ENSG00000047457,ENSG00000029364,ENSG00000026103
ENSG00000047617,ENSG00000030582,ENSG00000028137
ENSG00000050327,ENSG00000033122,ENSG00000034239
ENSG00000054356,ENSG00000034677,ENSG00000034533
ENSG00000054803,ENSG00000036448,ENSG00000035681
ENSG00000054938,ENSG00000037042,ENSG00000036473
ENSG00000055957,ENSG00000039139,ENSG00000038532
ENSG00000056487,ENSG00000040731,ENSG00000039987
ENSG00000057593,ENSG00000041802,ENSG00000040633
ENSG00000058335,ENSG00000042088,ENSG00000041982
ENSG00000058404,ENSG00000042304,ENSG00000042286
ENSG00000060709,ENSG00000042813,ENSG00000042445
ENSG00000062524,ENSG00000042980,ENSG00000043462
ENSG00000064886,ENSG00000043462,ENSG00000046651
ENSG00000065609,ENSG00000047457,ENSG00000047315
ENSG00000065923,ENSG00000047597,ENSG00000049167
ENSG00000066230,ENSG00000047849,ENSG00000050130
ENSG00000066248,ENSG00000048342,ENSG00000051108
ENSG00000066468,ENSG00000049768,ENSG00000051180
ENSG00000067177,ENSG00000050327,ENSG00000051341
ENSG00000067842,ENSG00000050426,ENSG00000055044
ENSG00000068985,ENSG00000051108,ENSG00000055118
ENSG00000069011,ENSG00000051825,ENSG00000056558
ENSG00000069188,ENSG00000052723,ENSG00000056586
ENSG00000069482,ENSG00000053702,ENSG00000057468
ENSG00000069535,ENSG00000055332,ENSG00000057935
ENSG00000070019,ENSG00000056972,ENSG00000058085
ENSG00000070193,ENSG00000057663,ENSG00000058799
ENSG00000070808,ENSG00000058404,ENSG00000060642
ENSG00000070886,ENSG00000058453,ENSG00000060656
ENSG00000072133,ENSG00000059588,ENSG00000060688
ENSG00000072657,ENSG00000060566,ENSG00000061938
ENSG00000074211,ENSG00000061455,ENSG00000062598
ENSG00000074410,ENSG00000062485,ENSG00000063015
ENSG00000074803,ENSG00000063180,ENSG00000063660
ENSG00000075035,ENSG00000063245,ENSG00000065325
ENSG00000075043,ENSG00000063601,ENSG00000065491
ENSG00000075213,ENSG00000064042,ENSG00000066827
ENSG00000075461,ENSG00000064199,ENSG00000067064
ENSG00000076716,ENSG00000064218,ENSG00000067066
ENSG00000077063,ENSG00000064313,ENSG00000067177
ENSG00000077080,ENSG00000064545,ENSG00000067992
ENSG00000077264,ENSG00000064932,ENSG00000068903
ENSG00000077279,ENSG00000065325,ENSG00000069018
ENSG00000078549,ENSG00000065534,ENSG00000069509
ENSG00000079112,ENSG00000065615,ENSG00000070190
ENSG00000080007,ENSG00000065978,ENSG00000070413
ENSG00000080511,ENSG00000066044,ENSG00000070540
ENSG00000081138,ENSG00000066294,ENSG00000070814
ENSG00000081479,ENSG00000066336,ENSG00000070950
ENSG00000082126,ENSG00000066468,ENSG00000071539
ENSG00000082196,ENSG00000066735,ENSG00000071553
ENSG00000083067,ENSG00000066855,ENSG00000072163
ENSG00000084110,ENSG00000066923,ENSG00000072832
ENSG00000084674,ENSG00000067715,ENSG00000072954
ENSG00000085741,ENSG00000068024,ENSG00000074219
ENSG00000085831,ENSG00000068097,ENSG00000074370
ENSG00000086205,ENSG00000068654,ENSG00000074803
ENSG00000086967,ENSG00000068781,ENSG00000075240
ENSG00000087250,ENSG00000068885,ENSG00000075388
ENSG00000087494,ENSG00000069667,ENSG00000075461
ENSG00000087495,ENSG00000069696,ENSG00000075856
ENSG00000087510,ENSG00000069956,ENSG00000075914
