GE,ME,MI
ENSG00000002079,cg17331296,hsa-miR-324-5p
ENSG00000003989,cg01791407,hsa-miR-18a-3p
ENSG00000004468,cg23907053,hsa-miR-942-3p
ENSG00000004809,cg11610614,hsa-miR-744-3p
ENSG00000004838,cg14928319,hsa-miR-490-5p
ENSG00000004846,cg11938455,hsa-miR-511-3p
ENSG00000005513,cg11417025,hsa-miR-584-3p
ENSG00000006071,cg19306063,hsa-miR-3156-5p
ENSG00000006128,cg12319602,hsa-miR-3161
ENSG00000006283,cg02389084,hsa-miR-616-5p
ENSG00000006377,cg13002945,hsa-miR-4638-3p
ENSG00000006555,cg08240383,hsa-miR-940
ENSG00000006611,cg20253561,hsa-miR-939-5p
ENSG00000007062,cg04547002,hsa-miR-636
ENSG00000007174,cg20005074,hsa-miR-1269b
ENSG00000007216,cg00638845,hsa-miR-1224-5p
ENSG00000007306,cg04280772,hsa-miR-519a-5p
ENSG00000007402,cg19730314,hsa-miR-518a-5p
ENSG00000007516,cg16761581,hsa-miR-9-5p
ENSG00000008196,cg06108459,hsa-miR-9-3p
ENSG00000009709,cg02449821,hsa-miR-7702
ENSG00000009765,cg02344833,hsa-miR-579-5p
ENSG00000010310,cg06022561,hsa-miR-23a-5p
ENSG00000010438,cg06312813,hsa-miR-155-3p
ENSG00000011677,cg22152728,hsa-miR-3136-5p
ENSG00000012171,cg04920032,hsa-miR-1229-3p
ENSG00000012504,cg12279877,hsa-miR-4664-3p
ENSG00000015520,cg11118198,hsa-miR-4665-5p
ENSG00000016602,cg05740418,hsa-miR-4664-5p
ENSG00000018625,cg26360026,hsa-miR-3622a-3p
ENSG00000019102,cg08420572,hsa-miR-449a
ENSG00000019169,cg08323075,hsa-miR-4724-5p
ENSG00000019186,cg14003035,hsa-miR-4728-5p
ENSG00000021645,cg09126279,hsa-miR-362-5p
ENSG00000021852,cg09705457,hsa-miR-188-5p
ENSG00000023839,cg21633105,hsa-miR-184
ENSG00000024526,cg00085486,hsa-miR-616-3p
ENSG00000026559,cg12231969,hsa-miR-1306-5p
ENSG00000029153,cg15916160,hsa-miR-1304-3p
ENSG00000033122,cg23923856,hsa-miR-455-5p
ENSG00000034053,cg01698108,hsa-miR-4661-5p
ENSG00000034971,cg19007141,hsa-miR-4658
ENSG00000039139,cg25837803,hsa-miR-3680-3p
ENSG00000039537,cg23938220,hsa-miR-3677-3p
ENSG00000047457,cg25211566,hsa-miR-4728-3p
ENSG00000047662,cg09495643,hsa-miR-449c-5p
ENSG00000047936,cg07548607,hsa-miR-224-5p
ENSG00000048545,cg12094965,hsa-miR-3677-5p
ENSG00000050438,cg26751972,hsa-miR-3940-5p
ENSG00000050628,cg17928147,hsa-miR-7112-3p
ENSG00000050730,cg20587874,hsa-miR-4652-5p
ENSG00000053108,cg06637001,hsa-miR-3682-3p
ENSG00000053524,cg26435572,hsa-miR-4746-5p
ENSG00000054598,cg05855983,hsa-miR-375-3p
ENSG00000054803,cg20439473,hsa-miR-526b-5p
ENSG00000054938,cg17410236,hsa-miR-520f-3p
ENSG00000056291,cg10215401,hsa-miR-6891-5p
ENSG00000056487,cg07959576,hsa-miR-7706
ENSG00000057149,cg23332689,hsa-miR-449b-3p
ENSG00000057593,cg18792528,hsa-miR-454-5p
