GE,ME,MI
ENSG00000006071,cg01791407,hsa-miR-18a-3p
ENSG00000006377,cg11938455,hsa-miR-519a-5p
ENSG00000026559,cg02389084,hsa-miR-9-3p
ENSG00000057149,cg08323075,hsa-miR-1304-3p
ENSG00000065371,cg19007141,hsa-miR-224-5p
ENSG00000071991,cg06637001,hsa-miR-1269a
ENSG00000072041,cg22758700,hsa-miR-18a-5p
ENSG00000082175,cg03724368,hsa-miR-934
ENSG00000082556,cg04557423,hsa-miR-2115-3p
ENSG00000088386,cg12666727,hsa-miR-7158-3p
ENSG00000094755,cg10356613,hsa-miR-522-3p
ENSG00000100146,cg25998402,hsa-miR-519a-3p
ENSG00000101323,cg22839308,hsa-miR-516a-5p
ENSG00000101425,cg05754853,hsa-miR-138-5p
ENSG00000102243,cg16593865,hsa-miR-452-3p
ENSG00000102854,cg04583813,hsa-miR-1283
ENSG00000103310,cg12911556,hsa-miR-135b-5p
ENSG00000103355,cg20383521,hsa-miR-190b-5p
ENSG00000103546,cg00601836,hsa-miR-767-5p
ENSG00000104044,cg04242021,hsa-miR-105-5p
ENSG00000105141,cg20176142,hsa-miR-577
ENSG00000105550,cg00085493,hsa-miR-135b-3p
ENSG00000106541,cg13458609,
ENSG00000107159,cg19870898,
ENSG00000110148,cg05873285,
ENSG00000110484,cg01098959,
ENSG00000112238,cg01798157,
ENSG00000112333,cg27565555,
ENSG00000114248,cg19929194,
ENSG00000114547,cg08651937,
ENSG00000115592,cg06708255,
ENSG00000115596,cg26329715,
ENSG00000115850,cg13985135,
ENSG00000116176,cg02005231,
ENSG00000117148,cg18669186,
ENSG00000117507,cg17935217,
ENSG00000120289,cg10180415,
ENSG00000121270,cg23488414,
ENSG00000121742,cg20739435,
ENSG00000123576,cg14181111,
ENSG00000124102,cg03441279,
ENSG00000124159,cg19246110,
ENSG00000126233,cg21961202,
ENSG00000126550,cg03961010,
ENSG00000129455,cg09353705,
ENSG00000130234,cg01682111,
ENSG00000131686,cg07779120,
ENSG00000132164,cg10023454,
ENSG00000132437,cg02110858,
ENSG00000132975,cg26348348,
ENSG00000133488,cg11385003,
ENSG00000133863,cg01224366,
ENSG00000134240,cg11784071,
ENSG00000136099,cg23968286,
ENSG00000136155,cg16025492,
ENSG00000136928,cg02385230,
ENSG00000137090,cg09568647,
ENSG00000137440,cg10625247,
ENSG00000137674,cg10262052,
ENSG00000139515,cg08435683,
ENSG00000139915,cg23684249,
ENSG00000140519,cg09632273,
ENSG00000140522,cg07211212,
ENSG00000140600,cg26823144,
ENSG00000141639,cg08750951,
ENSG00000142025,cg24548833,
ENSG00000142449,cg26437825,
ENSG00000142698,cg04784471,
ENSG00000142700,cg17072494,
ENSG00000143452,cg22581896,
ENSG00000143556,cg09276108,
ENSG00000144015,cg04807036,
ENSG00000144119,cg17806482,
ENSG00000144481,cg17463633,
ENSG00000146013,cg24788034,
ENSG00000146090,cg03555299,
ENSG00000146857,cg13484549,
ENSG00000147381,cg07810039,
ENSG00000148482,cg22729681,
ENSG00000148513,cg10020892,
ENSG00000148604,cg22291627,
ENSG00000148798,cg22940848,
ENSG00000152192,cg25296938,
ENSG00000152463,cg27121959,
ENSG00000152977,cg25306932,
ENSG00000153002,cg21305471,
ENSG00000154198,cg10558233,
ENSG00000154645,cg25893560,
ENSG00000155622,cg02011074,
ENSG00000155918,cg06268921,
ENSG00000156219,cg06433467,
ENSG00000157851,cg22248052,
ENSG00000159527,cg11199770,
ENSG00000159763,cg03223734,
ENSG00000160180,cg11728747,
ENSG00000160182,cg16991168,
ENSG00000161031,cg04215800,
ENSG00000162989,cg27260772,
ENSG00000163216,cg09795127,
ENSG00000163218,cg22626683,
ENSG00000163283,cg06037943,
ENSG00000163491,cg00805619,
ENSG00000163735,cg05322837,
ENSG00000164076,cg22328837,
ENSG00000164106,cg27518240,
ENSG00000164434,cg05595301,
ENSG00000164438,cg01303372,
ENSG00000166535,cg13427728,
ENSG00000167531,cg22445447,
ENSG00000167656,cg08090640,
ENSG00000167755,cg24315421,
ENSG00000167800,cg16706260,
ENSG00000169347,cg24659037,
ENSG00000169469,cg04505435,
ENSG00000169548,cg24172269,
ENSG00000170099,cg25979244,
ENSG00000170423,cg10282162,
ENSG00000170465,cg12055395,
ENSG00000170477,cg18261069,
ENSG00000170523,cg01887995,
ENSG00000170743,cg27650175,
ENSG00000171209,cg00421363,
ENSG00000171403,cg24296761,
ENSG00000171431,cg05739476,
ENSG00000172425,cg25503804,
ENSG00000173237,cg20688917,
ENSG00000173335,cg04976324,
ENSG00000173467,cg00339556,
ENSG00000174502,cg15037004,
ENSG00000175329,cg23524195,
ENSG00000175868,cg14427437,
ENSG00000176165,cg12427162,
ENSG00000178568,cg23829024,
ENSG00000178597,cg14078335,
ENSG00000179059,cg18601195,
ENSG00000179869,cg12074025,
ENSG00000180777,cg10754794,
ENSG00000181867,cg01288184,
ENSG00000183072,cg04017512,
ENSG00000184330,cg15690342,
ENSG00000185479,cg14802097,
ENSG00000185686,cg08651590,
ENSG00000185915,cg18979589,
ENSG00000186007,cg02737619,
ENSG00000186297,cg07951083,
ENSG00000186832,cg15928106,
ENSG00000186897,cg07484673,
ENSG00000186910,cg03190578,
ENSG00000187689,cg09645818,
ENSG00000187772,cg06837799,
ENSG00000187957,cg10970143,
ENSG00000188508,cg20415486,
ENSG00000188763,cg00157796,
ENSG00000189001,cg09368188,
ENSG00000197172,cg13656752,
ENSG00000198729,cg01791874,
ENSG00000203697,cg14703002,
ENSG00000203785,cg10173620,
ENSG00000204542,cg11549953,
ENSG00000204610,cg19645221,
ENSG00000204655,cg01364826,
ENSG00000205420,cg18886245,
ENSG00000206073,cg27334900,
ENSG00000213022,cg06311422,
ENSG00000214107,cg10883503,
ENSG00000215113,cg24365896,
ENSG00000225362,cg04262428,
ENSG00000227471,cg18317154,
ENSG00000229544,cg24430419,
ENSG00000237763,cg03450635,
ENSG00000240280,cg04536856,
ENSG00000241794,cg21616051,
ENSG00000261857,cg21171625,
,cg22991101,
,cg20250250,
,cg17939040,
,cg15414930,
,cg25950520,
,cg14564793,
,cg07979401,
,cg14416311,
,cg08048222,
,cg20873416,
,cg07091412,
,cg13475665,
,cg04399751,
,cg19755714,
,cg03228065,
,cg19516279,
,cg17042098,
,cg20701926,
,cg14866200,
,cg11863717,
,cg24651977,
,cg06428196,
,cg17041511,
,cg20349803,
,cg10330955,
,cg14321742,
,cg19578835,
,cg05327192,
,cg01401015,
,cg22081371,
,cg08960448,
,cg03304437,
,cg07433344,
,cg00955911,
,cg16260298,
,cg06972019,
,cg11977686,
,cg12887985,
,cg20804050,
,cg25095032,
,cg11282936,
,cg14800014,
,cg25141069,
,cg20631750,
,cg15646741,
,cg16306898,
,cg06182274,
,cg04781584,
,cg00428457,
,cg20518446,
,cg02477603,
,cg13598409,
,cg07204874,
,cg25499181,
,cg00987534,
,cg15023858,
,cg24797187,
,cg16021909,
,cg20251943,
,cg15096829,
,cg09569850,
,cg20035127,
,cg21941030,
,cg05142445,
,cg10128479,
,cg23855505,
,cg24016939,
,cg23884187,
,cg25274503,
,cg21386863,
,cg22260952,
,cg17228698,
,cg03657573,
,cg27139424,
,cg24635971,
,cg00067884,
,cg09787089,
,cg20366549,
,cg01565320,
,cg07052390,
,cg02858512,
,cg03477112,
,cg00726615,
,cg16601494,
,cg20893203,
,cg16373000,
,cg04932551,
,cg05483021,
,cg03998598,
,cg15536663,
,cg00524374,
,cg09455823,
,cg23703633,
,cg23440816,
,cg22973468,
,cg16562730,
,cg07293445,
,cg05709124,
,cg03559454,
,cg13475583,
,cg20268352,
,cg24921140,
,cg18095824,
,cg00506168,
,cg05839377,
,cg03290977,
,cg26055747,
,cg00020799,
,cg03055271,
,cg16702815,
,cg22647810,
,cg13703049,
,cg25581330,
,cg14986386,
,cg19437852,
,cg07137955,
,cg13836638,
,cg22549558,
,cg01671895,
,cg12668399,
,cg15205547,
,cg12247222,
,cg18005901,
,cg14063008,
,cg10505610,
,cg20952901,
,cg06283342,
,cg04522625,
,cg13096278,
,cg18888655,
,cg20512044,
,cg15085883,
,cg06974428,
,cg03779973,
,cg06061086,
,cg24953703,
,cg24686845,
,cg26607528,
,cg19779057,
,cg24811290,
,cg13709271,
,cg16539957,
,cg08824384,
,cg26978172,
,cg03989567,
,cg26760589,
,cg19836589,
,cg14450725,
,cg14830003,
,cg21586453,
,cg25320115,
,cg16937168,
,cg25092681,
,cg16319142,
,cg23631538,
,cg22986569,
,cg13488570,
,cg01085210,
,cg10168494,
,cg06411879,
,cg25655489,
,cg00508334,
,cg13682735,
,cg07570470,
,cg00018845,
,cg18804777,
,cg17671242,
,cg18350739,
,cg21775245,
,cg21731375,
,cg23092956,
,cg17219660,
,cg20995304,
,cg10988187,
,cg17507887,
,cg19171161,
,cg02670123,
,cg12457529,
,cg04008888,
,cg14275593,
,cg27209741,
,cg03202693,
,cg27064482,
,cg15460872,
,cg23752752,
,cg19266671,
,cg03772350,
,cg07940072,
,cg23391785,
,cg25602543,
,cg18477674,
,cg03535079,
,cg18762465,
,cg09261794,
