GE,ME,MI
ENSG00000004809,cg01791407,hsa-miR-18a-3p
ENSG00000006071,cg14928319,hsa-miR-519a-5p
ENSG00000006128,cg11938455,hsa-miR-518a-5p
ENSG00000006377,cg19306063,hsa-miR-9-3p
ENSG00000008196,cg12319602,hsa-miR-449a
ENSG00000010438,cg02389084,hsa-miR-188-5p
ENSG00000019169,cg04280772,hsa-miR-1304-3p
ENSG00000026559,cg19730314,hsa-miR-4728-3p
ENSG00000047936,cg06312813,hsa-miR-224-5p
ENSG00000057149,cg26360026,hsa-miR-7112-3p
ENSG00000057593,cg08323075,hsa-miR-1269a
ENSG00000064787,cg09126279,hsa-miR-18a-5p
ENSG00000065371,cg00085486,hsa-miR-934
ENSG00000069482,cg01698108,hsa-miR-2115-5p
ENSG00000070729,cg19007141,hsa-miR-2115-3p
ENSG00000071991,cg20587874,hsa-miR-7158-3p
ENSG00000072041,cg06637001,hsa-miR-937-3p
ENSG00000075886,cg18792528,hsa-miR-527
ENSG00000077935,cg22758700,hsa-miR-522-3p
ENSG00000081985,cg03724368,hsa-miR-519a-3p
ENSG00000082175,cg04557423,hsa-miR-137-3p
ENSG00000082556,cg08813925,hsa-miR-551a
ENSG00000086696,cg24066731,hsa-miR-301a-5p
ENSG00000088386,cg12666727,hsa-miR-3200-3p
ENSG00000090512,cg17514199,hsa-miR-301b-3p
ENSG00000090932,cg03277455,hsa-miR-516a-5p
ENSG00000091138,cg10356613,hsa-miR-138-5p
ENSG00000091482,cg25998402,hsa-miR-877-5p
ENSG00000091831,cg22839308,hsa-miR-452-3p
ENSG00000094755,cg09417209,hsa-miR-521
ENSG00000099769,cg24033558,hsa-miR-1283
ENSG00000099960,cg15127791,hsa-miR-548f-3p
ENSG00000100095,cg04324821,hsa-miR-135b-5p
ENSG00000100146,cg05754853,hsa-miR-190b-5p
ENSG00000100362,cg16593865,hsa-miR-4780
ENSG00000100867,cg04583813,hsa-miR-224-3p
ENSG00000101292,cg12911556,hsa-miR-146a-3p
ENSG00000101311,cg20383521,hsa-miR-767-5p
ENSG00000101323,cg14621217,hsa-miR-105-5p
ENSG00000101425,cg00601836,hsa-miR-6499-5p
ENSG00000102243,cg23261919,hsa-miR-6499-3p
ENSG00000102854,cg04242021,hsa-miR-6720-3p
ENSG00000103310,cg02863489,hsa-miR-577
ENSG00000103355,cg20176142,hsa-miR-135b-3p
ENSG00000103546,cg00085493,
ENSG00000104044,cg16375820,
ENSG00000105141,cg25456593,
ENSG00000105143,cg13458609,
ENSG00000105388,cg01934626,
ENSG00000105550,cg19870898,
ENSG00000105695,cg24740531,
ENSG00000106278,cg20565980,
ENSG00000106541,cg16550264,
ENSG00000107159,cg05873285,
ENSG00000107807,cg23199335,
ENSG00000108018,cg01098959,
ENSG00000108688,cg01798157,
ENSG00000109193,cg27565555,
ENSG00000109205,cg19929194,
ENSG00000109255,cg26866168,
ENSG00000110148,cg05709468,
ENSG00000110484,cg08651937,
ENSG00000112238,cg17580935,
ENSG00000112280,cg06708255,
ENSG00000112333,cg00067414,
ENSG00000113946,cg13933373,
ENSG00000114248,cg26329715,
ENSG00000114547,cg13929323,
ENSG00000115592,cg13985135,
ENSG00000115596,cg01091951,
ENSG00000115850,cg02005231,
ENSG00000116176,cg14543226,
ENSG00000116996,cg18669186,
ENSG00000117013,cg12086936,
ENSG00000117148,cg17935217,
ENSG00000117507,cg15963552,
ENSG00000119866,cg19595750,
ENSG00000120088,cg01901579,
ENSG00000120289,cg10180415,
ENSG00000121270,cg20663376,
ENSG00000121335,cg14081251,
ENSG00000121742,cg23488414,
ENSG00000123576,cg20739435,
ENSG00000124102,cg12518410,
ENSG00000124134,cg09020665,
ENSG00000124159,cg11671913,
ENSG00000124205,cg01066220,
ENSG00000124664,cg23111196,
ENSG00000124935,cg21264189,
ENSG00000125965,cg14181111,
ENSG00000126010,cg03441279,
ENSG00000126233,cg06376598,
ENSG00000126550,cg20455854,
ENSG00000126562,cg07297397,
ENSG00000129151,cg19246110,
ENSG00000129451,cg21961202,
ENSG00000129455,cg12113251,
ENSG00000129514,cg03961010,
ENSG00000129988,cg09353705,
ENSG00000130045,cg01682111,
ENSG00000130234,cg00101602,
ENSG00000130287,cg07779120,
ENSG00000130294,cg23179456,
ENSG00000130829,cg19996971,
ENSG00000131686,cg10023454,
ENSG00000131737,cg11203512,
ENSG00000132164,cg02110858,
ENSG00000132437,cg26348348,
ENSG00000132446,cg15750501,
ENSG00000132554,cg06908618,
ENSG00000132975,cg01723706,
ENSG00000133488,cg05089968,
ENSG00000133863,cg05259836,
ENSG00000134020,cg11845292,
ENSG00000134240,cg05919105,
ENSG00000134757,cg18975416,
ENSG00000134760,cg17721710,
ENSG00000135069,cg11385003,
ENSG00000135116,cg12542255,
ENSG00000135226,cg13971154,
ENSG00000135346,cg18323466,
ENSG00000135374,cg03239970,
ENSG00000136099,cg11481534,
ENSG00000136155,cg27132471,
ENSG00000136457,cg01224366,
ENSG00000136546,cg11784071,
ENSG00000136928,cg04573500,
ENSG00000137090,cg23968286,
ENSG00000137440,cg13934406,
ENSG00000137674,cg16905100,
ENSG00000138347,cg16025492,
ENSG00000139515,cg19808978,
ENSG00000139800,cg05377226,
ENSG00000139915,cg02385230,
ENSG00000140519,cg25188760,
ENSG00000140522,cg08336604,
ENSG00000140600,cg00095333,
ENSG00000140798,cg25830696,
ENSG00000140835,cg09568647,
ENSG00000141639,cg02464901,
ENSG00000141750,cg10625247,
ENSG00000142025,cg19640166,
ENSG00000142449,cg10262052,
ENSG00000142698,cg11285912,
ENSG00000142700,cg26810908,
ENSG00000142973,cg08435683,
ENSG00000143452,cg01893212,
ENSG00000143556,cg24615528,
ENSG00000144015,cg05306745,
ENSG00000144119,cg23684249,
ENSG00000144481,cg09632273,
ENSG00000146013,cg07211212,
ENSG00000146090,cg17824240,
ENSG00000146857,cg26823144,
ENSG00000147041,cg13763287,
ENSG00000147381,cg08750951,
ENSG00000147509,cg21634064,
ENSG00000148482,cg24548833,
ENSG00000148513,cg00613562,
ENSG00000148604,cg26437825,
ENSG00000148704,cg23054189,
ENSG00000148798,cg08858437,
ENSG00000150667,cg15840253,
ENSG00000151892,cg10884788,
ENSG00000152086,cg04784471,
