GE,ME,MI
ENSG00000000005,cg01156077,hsa-miR-6793-5p
ENSG00000001617,cg22970357,hsa-miR-6826-3p
ENSG00000001626,cg21460020,hsa-miR-324-5p
ENSG00000002079,cg13604020,hsa-miR-331-3p
ENSG00000002745,cg17331296,hsa-miR-324-3p
ENSG00000003137,cg01965939,hsa-miR-18a-3p
ENSG00000003989,cg26521139,hsa-miR-4510
ENSG00000004468,cg06401021,hsa-miR-942-3p
ENSG00000004776,cg11398523,hsa-miR-1180-5p
ENSG00000004799,cg08436089,hsa-miR-488-3p
ENSG00000004809,cg26331625,hsa-miR-1287-3p
ENSG00000004838,cg24749470,hsa-miR-744-3p
ENSG00000004846,cg01791407,hsa-miR-491-3p
ENSG00000004848,cg04411893,hsa-miR-490-5p
ENSG00000004948,cg17648210,hsa-miR-550a-5p
ENSG00000005102,cg23907053,hsa-miR-590-3p
ENSG00000005108,cg16904330,hsa-miR-548a-5p
ENSG00000005381,cg11610614,hsa-miR-511-3p
ENSG00000005469,cg18910298,hsa-miR-628-5p
ENSG00000005513,cg06799163,hsa-miR-3667-3p
ENSG00000005961,cg22009464,hsa-let-7f-1-3p
ENSG00000005981,cg10605681,hsa-miR-1258
ENSG00000006016,cg15579587,hsa-miR-15a-3p
ENSG00000006047,cg05799811,hsa-miR-16-1-3p
ENSG00000006071,cg14928319,hsa-miR-584-3p
ENSG00000006128,cg11938455,hsa-miR-3164
ENSG00000006210,cg11417025,hsa-miR-3159
ENSG00000006282,cg25932315,hsa-miR-365b-5p
ENSG00000006283,cg00046625,hsa-miR-3156-5p
ENSG00000006377,cg21857668,hsa-miR-3161
ENSG00000006555,cg03958512,hsa-miR-592
ENSG00000006606,cg19306063,hsa-miR-573
ENSG00000006611,cg08575330,hsa-miR-618
ENSG00000006634,cg13656173,hsa-miR-616-5p
ENSG00000006652,cg21217024,hsa-miR-615-3p
ENSG00000006659,cg23782734,hsa-miR-4638-3p
ENSG00000006757,cg12319602,hsa-miR-449c-3p
ENSG00000007001,cg21998208,hsa-miR-7110-3p
ENSG00000007038,cg02389084,hsa-miR-518e-3p
ENSG00000007062,cg01246835,hsa-miR-940
ENSG00000007171,cg00643111,hsa-miR-939-5p
ENSG00000007174,cg13002945,hsa-miR-520h
ENSG00000007216,cg08240383,hsa-miR-548v
ENSG00000007264,cg02241924,hsa-miR-4745-3p
ENSG00000007306,cg20253561,hsa-miR-4745-5p
ENSG00000007312,cg04547002,hsa-miR-4742-3p
ENSG00000007314,cg00320216,hsa-miR-4741
ENSG00000007350,cg09067029,hsa-miR-636
ENSG00000007402,cg22660578,hsa-miR-6840-5p
ENSG00000007516,cg20005074,hsa-miR-6840-3p
ENSG00000007968,cg06298701,hsa-miR-6842-3p
ENSG00000008118,cg00638845,hsa-miR-1269b
ENSG00000008196,cg22976884,hsa-miR-4521
ENSG00000008197,cg25870420,hsa-miR-4517
ENSG00000008226,cg04280772,hsa-miR-887-5p
ENSG00000008277,cg00393837,hsa-miR-1224-5p
ENSG00000008311,cg01524174,hsa-miR-519a-5p
ENSG00000008517,cg01263386,hsa-miR-518a-5p
ENSG00000008735,cg01587630,hsa-miR-146a-5p
ENSG00000009709,cg23245007,hsa-miR-9-5p
ENSG00000009724,cg27281882,hsa-miR-9-3p
ENSG00000009765,cg19730314,hsa-miR-7702
